,invoice_id,branch,city
0,750-67-8428,A,Yangon
1,226-31-3081,C,Naypyitaw
2,631-41-3108,A,Yangon
3,123-19-1176,A,Yangon
4,373-73-7910,A,Yangon
5,699-14-3026,C,Naypyitaw
6,355-53-5943,A,Yangon
7,315-22-5665,C,Naypyitaw
8,665-32-9167,A,Yangon
9,692-92-5582,B,Mandalay
10,351-62-0822,B,Mandalay
11,529-56-3974,B,Mandalay
12,365-64-0515,A,Yangon
13,252-56-2699,A,Yangon
14,829-34-3910,A,Yangon
15,299-46-1805,B,Mandalay
16,656-95-9349,A,Yangon
17,765-26-6951,A,Yangon
18,329-62-1586,A,Yangon
19,319-50-3348,B,Mandalay
20,300-71-4605,C,Naypyitaw
21,371-85-5789,B,Mandalay
22,273-16-6619,B,Mandalay
23,636-48-8204,A,Yangon
24,549-59-1358,A,Yangon
25,227-03-5010,A,Yangon
26,649-29-6775,B,Mandalay
27,189-17-4241,A,Yangon
28,145-94-9061,B,Mandalay
29,848-62-7243,A,Yangon
30,871-79-8483,B,Mandalay
31,149-71-6266,B,Mandalay
32,640-49-2076,B,Mandalay
33,595-11-5460,A,Yangon
34,183-56-6882,C,Naypyitaw
35,232-16-2483,C,Naypyitaw
36,129-29-8530,A,Yangon
37,272-65-1806,A,Yangon
38,333-73-7901,C,Naypyitaw
39,777-82-7220,B,Mandalay
40,280-35-5823,B,Mandalay
41,554-53-8700,C,Naypyitaw
42,354-25-5821,B,Mandalay
43,228-96-1411,C,Naypyitaw
44,617-15-4209,C,Naypyitaw
45,132-32-9879,B,Mandalay
46,370-41-7321,B,Mandalay
47,727-46-3608,B,Mandalay
48,669-54-1719,B,Mandalay
49,574-22-5561,C,Naypyitaw
50,326-78-5178,C,Naypyitaw
51,162-48-8011,A,Yangon
52,616-24-2851,B,Mandalay
53,778-71-5554,C,Naypyitaw
54,242-55-6721,B,Mandalay
55,399-46-5918,C,Naypyitaw
56,106-35-6779,A,Yangon
57,635-40-6220,A,Yangon
58,817-48-8732,A,Yangon
59,120-06-4233,C,Naypyitaw
60,285-68-5083,C,Naypyitaw
61,803-83-5989,C,Naypyitaw
62,347-34-2234,B,Mandalay
63,199-75-8169,A,Yangon
64,853-23-2453,B,Mandalay
65,877-22-3308,A,Yangon
66,838-78-4295,C,Naypyitaw
67,109-28-2512,B,Mandalay
68,232-11-3025,A,Yangon
69,382-03-4532,A,Yangon
70,393-65-2792,C,Naypyitaw
71,796-12-2025,C,Naypyitaw
72,510-95-6347,B,Mandalay
73,841-35-6630,C,Naypyitaw
74,287-21-9091,A,Yangon
75,732-94-0499,C,Naypyitaw
76,263-10-3913,C,Naypyitaw
77,381-20-0914,A,Yangon
78,829-49-1914,C,Naypyitaw
79,756-01-7507,C,Naypyitaw
80,870-72-4431,C,Naypyitaw
81,847-38-7188,B,Mandalay
82,480-63-2856,C,Naypyitaw
83,787-56-0757,C,Naypyitaw
84,360-39-5055,C,Naypyitaw
85,730-50-9884,C,Naypyitaw
86,362-58-8315,C,Naypyitaw
87,633-44-8566,A,Yangon
88,504-35-8843,A,Yangon
89,318-68-5053,B,Mandalay
90,565-80-5980,C,Naypyitaw
