,invoice_id,gross_income,gross_margin_pct,cogs,payment,time,date,total,tax_pct,quantity,unit_price,product_line
0,750-67-8428,26.1415,4.7619047619999995,522.83,Ewallet,13:08,1/5/2019,548.9715,26.1415,7,74.69,Health and beauty
1,226-31-3081,3.82,4.7619047619999995,76.4,Cash,10:29,3/8/2019,80.22,3.82,5,15.28,Electronic accessories
2,631-41-3108,16.2155,4.7619047619999995,324.31,Credit card,13:23,3/3/2019,340.5255,16.2155,7,46.33,Home and lifestyle
3,123-19-1176,23.288,4.7619047619999995,465.76,Ewallet,20:33,1/27/2019,489.048,23.288,8,58.22,Health and beauty
4,373-73-7910,30.2085,4.7619047619999995,604.17,Ewallet,10:37,2/8/2019,634.3785,30.2085,7,86.31,Sports and travel
5,699-14-3026,29.8865,4.7619047619999995,597.73,Ewallet,18:30,3/25/2019,627.6165,29.8865,7,85.39,Electronic accessories
6,355-53-5943,20.651999999999997,4.7619047619999995,413.04,Ewallet,14:36,2/25/2019,433.69199999999995,20.651999999999997,6,68.84,Electronic accessories
7,315-22-5665,36.78,4.7619047619999995,735.6,Ewallet,11:38,2/24/2019,772.38,36.78,10,73.56,Home and lifestyle
8,665-32-9167,3.6260000000000003,4.7619047619999995,72.52,Credit card,17:15,1/10/2019,76.146,3.6260000000000003,2,36.26,Health and beauty
9,692-92-5582,8.226,4.7619047619999995,164.52,Credit card,13:27,2/20/2019,172.74599999999998,8.226,3,54.84,Food and beverages
10,351-62-0822,2.8960000000000004,4.7619047619999995,57.92,Ewallet,18:07,2/6/2019,60.816,2.8960000000000004,4,14.48,Fashion accessories
11,529-56-3974,5.102,4.7619047619999995,102.04,Cash,17:03,3/9/2019,107.14200000000001,5.102,4,25.51,Electronic accessories
12,365-64-0515,11.7375,4.7619047619999995,234.75,Ewallet,10:25,2/12/2019,246.4875,11.7375,5,46.95,Electronic accessories
13,252-56-2699,21.595,4.7619047619999995,431.9,Ewallet,16:48,2/7/2019,453.495,21.595,10,43.19,Food and beverages
14,829-34-3910,35.69,4.7619047619999995,713.8,Cash,19:21,3/29/2019,749.49,35.69,10,71.38,Health and beauty
15,299-46-1805,28.116,4.7619047619999995,562.32,Cash,16:19,1/15/2019,590.436,28.116,6,93.72,Sports and travel
16,656-95-9349,24.1255,4.7619047619999995,482.51,Credit card,11:03,3/11/2019,506.6355,24.1255,7,68.93,Health and beauty
17,765-26-6951,21.783,4.7619047619999995,435.66,Credit card,10:39,1/1/2019,457.44300000000004,21.783,6,72.61,Sports and travel
18,329-62-1586,8.2005,4.7619047619999995,164.01,Credit card,18:00,1/21/2019,172.2105,8.2005,3,54.67,Food and beverages
19,319-50-3348,4.03,4.7619047619999995,80.6,Ewallet,15:30,3/11/2019,84.63,4.03,2,40.3,Home and lifestyle
20,300-71-4605,21.51,4.7619047619999995,430.2,Ewallet,11:24,2/25/2019,451.71,21.51,5,86.04,Electronic accessories
21,371-85-5789,13.197000000000001,4.7619047619999995,263.94,Ewallet,10:40,3/5/2019,277.137,13.197000000000001,3,87.98,Health and beauty
22,273-16-6619,3.32,4.7619047619999995,66.4,Credit card,12:20,3/15/2019,69.72,3.32,2,33.2,Home and lifestyle
23,636-48-8204,8.64,4.7619047619999995,172.8,Ewallet,11:15,2/17/2019,181.44,8.64,5,34.56,Electronic accessories
24,549-59-1358,13.2945,4.7619047619999995,265.89,Ewallet,17:36,3/2/2019,279.1845,13.2945,3,88.63,Sports and travel
25,227-03-5010,21.035999999999998,4.7619047619999995,420.72,Credit card,19:20,3/22/2019,441.756,21.035999999999998,8,52.59,Home and lifestyle
26,649-29-6775,1.676,4.7619047619999995,33.52,Cash,15:31,2/8/2019,35.196,1.676,1,33.52,Fashion accessories
27,189-17-4241,8.767000000000001,4.7619047619999995,175.34,Credit card,12:17,3/10/2019,184.107,8.767000000000001,2,87.67,Fashion accessories
28,145-94-9061,22.09,4.7619047619999995,441.8,Cash,19:48,1/25/2019,463.89,22.09,5,88.36,Food and beverages
29,848-62-7243,11.2005,4.7619047619999995,224.01,Cash,15:36,3/15/2019,235.2105,11.2005,9,24.89,Health and beauty
30,871-79-8483,23.5325,4.7619047619999995,470.65,Credit card,19:39,2/25/2019,494.1825,23.5325,5,94.13,Fashion accessories
31,149-71-6266,35.1315,4.7619047619999995,702.63,Cash,12:43,1/28/2019,737.7615,35.1315,9,78.07,Sports and travel
32,640-49-2076,33.512,4.7619047619999995,670.24,Cash,14:49,1/10/2019,703.752,33.512,8,83.78,Sports and travel
33,595-11-5460,9.658,4.7619047619999995,193.16,Credit card,10:12,3/15/2019,202.81799999999998,9.658,2,96.58,Health and beauty
34,183-56-6882,19.884,4.7619047619999995,397.68,Ewallet,10:42,2/6/2019,417.564,19.884,4,99.42,Food and beverages
35,232-16-2483,3.406,4.7619047619999995,68.12,Ewallet,12:28,1/7/2019,71.52600000000001,3.406,1,68.12,Sports and travel
36,129-29-8530,15.655,4.7619047619999995,313.1,Ewallet,19:15,3/10/2019,328.755,15.655,5,62.62,Sports and travel
37,272-65-1806,27.396,4.7619047619999995,547.92,Ewallet,17:17,1/15/2019,575.316,27.396,9,60.88,Electronic accessories
38,333-73-7901,21.968000000000004,4.7619047619999995,439.36,Ewallet,13:24,3/23/2019,461.32800000000003,21.968000000000004,8,54.92,Health and beauty
39,777-82-7220,12.048,4.7619047619999995,240.96,Cash,13:01,3/3/2019,253.00799999999998,12.048,8,30.12,Home and lifestyle
40,280-35-5823,4.336,4.7619047619999995,86.72,Ewallet,18:45,1/17/2019,91.056,4.336,1,86.72,Home and lifestyle
41,554-53-8700,5.611000000000001,4.7619047619999995,112.22,Cash,10:11,2/2/2019,117.831,5.611000000000001,2,56.11,Home and lifestyle
42,354-25-5821,20.736,4.7619047619999995,414.72,Cash,13:03,2/8/2019,435.45599999999996,20.736,6,69.12,Sports and travel
43,228-96-1411,39.48,4.7619047619999995,789.6,Cash,20:39,3/4/2019,829.08,39.48,8,98.7,Food and beverages
44,617-15-4209,1.537,4.7619047619999995,30.74,Cash,19:47,3/16/2019,32.277,1.537,2,15.37,Health and beauty
45,132-32-9879,18.792,4.7619047619999995,375.84,Cash,18:00,3/9/2019,394.63199999999995,18.792,4,93.96,Electronic accessories
46,370-41-7321,25.5105,4.7619047619999995,510.21,Credit card,17:24,2/27/2019,535.7205,25.5105,9,56.69,Health and beauty
47,727-46-3608,9.0045,4.7619047619999995,180.09,Ewallet,15:47,2/6/2019,189.0945,9.0045,9,20.01,Food and beverages
48,669-54-1719,5.678999999999999,4.7619047619999995,113.58,Credit card,12:45,2/10/2019,119.259,5.678999999999999,6,18.93,Electronic accessories
49,574-22-5561,41.315,4.7619047619999995,826.3,Ewallet,17:08,3/19/2019,867.615,41.315,10,82.63,Fashion accessories
50,326-78-5178,31.99,4.7619047619999995,639.8,Cash,10:19,2/3/2019,671.79,31.99,7,91.4,Food and beverages
51,162-48-8011,11.1475,4.7619047619999995,222.95,Cash,15:10,2/10/2019,234.0975,11.1475,5,44.59,Food and beverages
52,616-24-2851,3.574,4.7619047619999995,71.48,Ewallet,14:42,3/22/2019,75.054,3.574,4,17.87,Fashion accessories
53,778-71-5554,0.7715,4.7619047619999995,15.43,Credit card,15:46,1/25/2019,16.2015,0.7715,1,15.43,Fashion accessories
54,242-55-6721,1.6159999999999999,4.7619047619999995,32.32,Ewallet,11:49,3/7/2019,33.936,1.6159999999999999,2,16.16,Home and lifestyle
55,399-46-5918,34.391999999999996,4.7619047619999995,687.84,Cash,19:01,2/28/2019,722.232,34.391999999999996,8,85.98,Electronic accessories
56,106-35-6779,4.434,4.7619047619999995,88.68,Cash,11:26,3/27/2019,93.11399999999999,4.434,2,44.34,Home and lifestyle
57,635-40-6220,35.84,4.7619047619999995,716.8,Ewallet,11:28,2/7/2019,752.64,35.84,8,89.6,Health and beauty
58,817-48-8732,36.175,4.7619047619999995,723.5,Cash,15:55,1/20/2019,759.675,36.175,10,72.35,Home and lifestyle
59,120-06-4233,9.183,4.7619047619999995,183.66,Cash,20:36,3/12/2019,192.843,9.183,6,30.61,Electronic accessories
60,285-68-5083,3.7110000000000003,4.7619047619999995,74.22,Credit card,17:47,2/15/2019,77.931,3.7110000000000003,3,24.74,Sports and travel
61,803-83-5989,16.719,4.7619047619999995,334.38,Ewallet,10:55,2/24/2019,351.099,16.719,6,55.73,Home and lifestyle
62,347-34-2234,24.7815,4.7619047619999995,495.63,Ewallet,13:40,2/3/2019,520.4115,24.7815,9,55.07,Sports and travel
63,199-75-8169,7.905,4.7619047619999995,158.1,Credit card,12:27,3/6/2019,166.005,7.905,10,15.81,Sports and travel
64,853-23-2453,15.148,4.7619047619999995,302.96,Cash,14:35,2/14/2019,318.108,15.148,4,75.74,Health and beauty
65,877-22-3308,7.935,4.7619047619999995,158.7,Cash,16:40,3/13/2019,166.635,7.935,10,15.87,Health and beauty
66,838-78-4295,3.347,4.7619047619999995,66.94,Ewallet,15:43,2/10/2019,70.28699999999999,3.347,2,33.47,Health and beauty
67,109-28-2512,29.283,4.7619047619999995,585.66,Ewallet,15:01,1/7/2019,614.943,29.283,6,97.61,Fashion accessories
68,232-11-3025,39.385,4.7619047619999995,787.7,Cash,10:04,1/24/2019,827.085,39.385,10,78.77,Sports and travel
69,382-03-4532,0.9165,4.7619047619999995,18.33,Cash,18:50,2/2/2019,19.2465,0.9165,1,18.33,Health and beauty
70,393-65-2792,44.74,4.7619047619999995,894.8,Credit card,12:46,1/6/2019,939.54,44.74,10,89.48,Food and beverages
71,796-12-2025,31.06,4.7619047619999995,621.2,Cash,16:19,2/11/2019,652.26,31.06,10,62.12,Fashion accessories
72,510-95-6347,7.278,4.7619047619999995,145.56,Ewallet,18:17,3/5/2019,152.838,7.278,3,48.52,Food and beverages
73,841-35-6630,22.773000000000003,4.7619047619999995,455.46,Cash,18:21,3/9/2019,478.233,22.773000000000003,6,75.91,Electronic accessories
74,287-21-9091,33.6015,4.7619047619999995,672.03,Ewallet,10:55,1/22/2019,705.6315,33.6015,9,74.67,Home and lifestyle
75,732-94-0499,20.825,4.7619047619999995,416.5,Credit card,17:04,1/13/2019,437.325,20.825,10,41.65,Electronic accessories
76,263-10-3913,22.068,4.7619047619999995,441.36,Credit card,14:20,1/9/2019,463.42800000000005,22.068,9,49.04,Fashion accessories
77,381-20-0914,9.0045,4.7619047619999995,180.09,Credit card,15:48,1/12/2019,189.0945,9.0045,9,20.01,Fashion accessories
78,829-49-1914,39.155,4.7619047619999995,783.1,Ewallet,16:24,3/5/2019,822.255,39.155,10,78.31,Food and beverages
79,756-01-7507,5.095,4.7619047619999995,101.9,Cash,18:56,1/22/2019,106.995,5.095,5,20.38,Health and beauty
80,870-72-4431,29.756999999999998,4.7619047619999995,595.14,Credit card,14:42,1/21/2019,624.8969999999999,29.756999999999998,6,99.19,Health and beauty
